order_id,order_date,customer_name,region,product_category,product_name,quantity,unit_price,revenue
ORD-001,2024-03-04,Henry Davis,South,Electronics,Wireless Headphones,9,89.99,809.91
ORD-002,03/04/2024,Sam White,North,Sports,Water Bottle,3,19.99,59.97
ORD-003,03-Jan-2024,Quinn Clark,North,Clothing,Running Shorts,8,34.99,279.92
ORD-004,2024-03-07,Henry Harris,East,Sports,Water Bottle,14,19.99,279.86
ORD-005,01/25/2024,Karen Wilson,South,Clothing,Fleece Jacket,14,74.99,
ORD-006,25-Jan-2024,Carol Jackson,North,Home & Garden,Garden Hose,4,44.99,179.96
ORD-007,2024-02-28,Isabel Johnson,West,Home & Garden,Throw Pillow Set,20,39.99,799.8
ORD-008,03/04/2024,Rachel Taylor,East,Home & Garden,Scented Candles,3,24.99,74.97
ORD-009,07-Mar-2024,Henry Taylor,North,Electronics,Portable Charger,2,29.99,59.98
ORD-010,2024-01-28,Isabel Harris,East,Electronics,Bluetooth Speaker,13,59.99,779.87
ORD-010,01/28/2024,Isabel Harris,East,Electronics,Bluetooth Speaker,13,59.99,779.87
ORD-011,12-Jan-2024,Isabel Williams,South,Home & Garden,Throw Pillow Set,7,39.99,279.93
ORD-012,2024-03-24,Olivia Jackson,East,Clothing,Waterproof Boots,6,119.99,719.94
ORD-013,03/23/2024,Karen Johnson,South,Sports,Water Bottle,8,19.99,159.92
ORD-014,26-Jan-2024,Isabel Williams,South,Home & Garden,Garden Hose,13,44.99,
ORD-015,2024-03-23,Peter Jackson,West,Home & Garden,Garden Hose,7,44.99,314.93
ORD-016,01/09/2024,Rachel Moore,East,Electronics,Smart Watch,8,199.99,1599.92
ORD-017,19-Mar-2024,Maya Thomas,South,Home & Garden,Wall Clock,19,34.99,664.81
ORD-018,2024-01-17,Bob Brown,South,Sports,Yoga Mat,3,49.99,149.97
ORD-019,03/06/2024,Carol Jackson,West,Home & Garden,Wall Clock,20,34.99,699.8
ORD-020,15-Mar-2024,Rachel Smith,North,Sports,Resistance Bands,9,24.99,224.91
ORD-021,2024-03-18,David Taylor,West,Clothing,Casual T-Shirt,11,19.99,219.89
ORD-022,01/15/2024,Quinn Garcia,North,Electronics,Wireless Headphones,9,89.99,809.91
ORD-022,15-Jan-2024,Quinn Garcia,North,Electronics,Wireless Headphones,9,89.99,809.91
ORD-023,2024-03-10,Grace Jones,East,Sports,Resistance Bands,20,24.99,499.8
ORD-024,01/18/2024,Tara Anderson,West,Sports,Resistance Bands,1,24.99,24.99
ORD-025,04-Jan-2024,Henry Johnson,South,Home & Garden,Throw Pillow Set,10,39.99,
ORD-026,2024-03-03,Carol Moore,South,Electronics,Portable Charger,16,29.99,479.84
ORD-027,01/22/2024,Frank Wilson,West,Sports,Yoga Mat,18,49.99,899.82
ORD-028,18-Jan-2024,Maya Thomas,West,Clothing,Running Shorts,10,34.99,349.9
ORD-029,2024-03-15,Henry Williams,East,Electronics,Bluetooth Speaker,8,59.99,479.92
ORD-030,01/19/2024,Sam Davis,North,Sports,Water Bottle,8,19.99,159.92
ORD-031,23-Jan-2024,Carol Johnson,East,Electronics,USB-C Hub,8,34.99,279.92
ORD-032,2024-01-17,Peter Miller,South,Clothing,Waterproof Boots,9,119.99,1079.91
ORD-033,03/19/2024,Henry Martin,West,Sports,Foam Roller,16,34.99,
ORD-034,04-Jan-2024,Liam White,West,Electronics,Bluetooth Speaker,14,59.99,839.86
ORD-035,2024-02-28,Bob Jackson,East,Electronics,USB-C Hub,4,34.99,139.96
ORD-035,02/28/2024,Bob Jackson,East,Electronics,USB-C Hub,4,34.99,139.96
ORD-036,08-Jan-2024,Rachel Harris,South,Clothing,Running Shorts,7,34.99,244.93
ORD-037,2024-02-06,Henry Williams,West,Clothing,Casual T-Shirt,15,19.99,299.85
ORD-038,03/04/2024,Alice Williams,South,Electronics,USB-C Hub,18,34.99,629.82
